codigo,disciplina,turma,horario,local,docente,modalidade_educacao,unidade_responsavel,codigo_componente,nome_componente,pre_requisitos,ementa
02,FGA0078 - TEORIA DE MATERIAIS DE CONSTRUÇÃO,RODRIGO ARBEY MUNOZ MENESES (45h),"3T23 5T2
											


		

											Terça-feira 14:00 às 15:50Quinta-feira 14:00 às 14:55",,60,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0083 - APRENDIZADO DE MÁQUINA,SERGIO ANTONIO ANDRADE DE FREITAS (60h),"24M12
											


		

											Segunda-feira 08:00 às 09:50Quarta-feira 08:00 às 09:50",,60,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0085 - MATEMÁTICA DISCRETA 1,CRISTIANE LOESCH DE SOUZA COSTA (60h),"24M12
											


		

											Segunda-feira 08:00 às 09:50Quarta-feira 08:00 às 09:50",,120,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
02,FGA0085 - MATEMÁTICA DISCRETA 1,CRISTIANE LOESCH DE SOUZA COSTA (60h),"24M34
											


		

											Segunda-feira 10:00 às 11:50Quarta-feira 10:00 às 11:50",,120,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0086 - TEORIA DE ELETRICIDADE APLICADA,JORGE ANDRES CORMANE ANGARITA (60h),"24M12
											


		

											Segunda-feira 08:00 às 09:50Quarta-feira 08:00 às 09:50",,45,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
02,FGA0086 - TEORIA DE ELETRICIDADE APLICADA,FLAVIO HENRIQUE JUSTINIANO RIBEIRO DA SILVA (60h),"24T45
											


		

											Segunda-feira 16:00 às 17:50Quarta-feira 16:00 às 17:50",,45,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0087 - LABORATÓRIO DE ELETRICIDADE APLICADA,JORGE ANDRES CORMANE ANGARITA (30h),"2M34
											


		

											Segunda-feira 10:00 às 11:50",,20,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
03,FGA0087 - LABORATÓRIO DE ELETRICIDADE APLICADA,RUDI HENRI VAN ELS (30h),"3T23
											


		

											Terça-feira 14:00 às 15:50",,20,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0088 - TEORIA DE SISTEMAS DE CONVERSÃO DE ENERGIA,FLAVIO HENRIQUE JUSTINIANO RIBEIRO DA SILVA (60h),"46M12
											


		

											Quarta-feira 08:00 às 09:50Sexta-feira 08:00 às 09:50",,40,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0089 - LABORATÓRIO DE SISTEMAS DE CONVERSÃO DE ENERGIA,RUDI HENRI VAN ELS (30h),"4T45
											


		

											Quarta-feira 16:00 às 17:50",,20,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
02,FGA0089 - LABORATÓRIO DE SISTEMAS DE CONVERSÃO DE ENERGIA,RUDI HENRI VAN ELS (30h),"4T23
											


		

											Quarta-feira 14:00 às 15:50",,20,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0090 - ONDULATÓRIA E FÍSICA TÉRMICA PARA ENGENHARIA,EBERTH DE ALMEIDA CORREA (60h),"35T23
											


		

											Terça-feira 14:00 às 15:50Quinta-feira 14:00 às 15:50",,45,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0091 - MÁQUINAS DE FLUIDO,"LUCIANO GONCALVES NOLETO (45h)
										
										
										FELIPE CHAGAS STORTI (45h)","24M12  4T2
											


		

											Segunda-feira 08:00 às 09:50Quarta-feira 08:00 às 09:50Quarta-feira 14:00 às 14:55",,25,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0092 - PRINCÍPIOS DE COMUNICAÇÃO PARA ENGENHARIA,SEBASTIEN ROLAND MARIE JOSEPH RONDINEAU (75h),"3M125 5M12
											


		

											Terça-feira 08:00 às 09:50Terça-feira 12:00 às 12:55Quinta-feira 08:00 às 09:50",,50,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0093 - PRINCÍPIOS DE CONTROLE,ROBERTO DE SOUZA BAPTISTA (75h),"3T123 5T23
											


		

											Terça-feira 12:55 às 15:50Quinta-feira 14:00 às 15:50",,35,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
02,FGA0093 - PRINCÍPIOS DE CONTROLE,THIAGO FELIPPE KURUDEZ CORDEIRO (75h),"46T23 5T1
											


		

											Quarta-feira 14:00 às 15:50Quinta-feira 12:55 às 13:50Sexta-feira 14:00 às 15:50",,35,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0094 - ANTENAS IMPRESSAS,DANIEL COSTA ARAUJO (60h),"35M12
											


		

											Terça-feira 08:00 às 09:50Quinta-feira 08:00 às 09:50",,20,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0097 - ELETRÔNICA DE RÁDIO FREQUÊNCIA,WELLINGTON AVELINO DO AMARAL (60h),"35T23
											


		

											Terça-feira 14:00 às 15:50Quinta-feira 14:00 às 15:50",,20,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0098 - PRÁTICA DE CIRCUITOS ELETRÔNICOS 3,TIAGO MARTINS DE BRITO (30h),"2T45
											


		

											Segunda-feira 16:00 às 17:50",,20,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0099 - TEORIA DE CIRCUITOS ELETRÔNICOS 3,WELLINGTON AVELINO DO AMARAL (60h),"35T45
											


		

											Terça-feira 16:00 às 17:50Quinta-feira 16:00 às 17:50",,45,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0100 - PRÁTICA DE FÍSICA DOS DISPOSITIVOS ELETRÔNICOS,MARCUS VINICIUS BATISTUTA (30h),"5M12
											


		

											Quinta-feira 08:00 às 09:50",,20,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
02,FGA0100 - PRÁTICA DE FÍSICA DOS DISPOSITIVOS ELETRÔNICOS,GERARDO ANTONIO IDROBO PIZO (30h),"3M5  3T1
											


		

											Terça-feira 12:00 às 13:50",,20,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0101 - TEORIA DE FÍSICA DOS DISPOSITIVOS ELETRÔNICOS,MARCUS VINICIUS BATISTUTA (60h),"35T45
											


		

											Terça-feira 16:00 às 17:50Quinta-feira 16:00 às 17:50",,60,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0102 - SINAIS E SISTEMAS PARA ENGENHARIA,LUIS FILOMENO DE JESUS FERNANDES (90h),"356T23
											


		

											Terça-feira 14:00 às 15:50Quinta-feira 14:00 às 15:50Sexta-feira 14:00 às 15:50",,35,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
02,FGA0102 - SINAIS E SISTEMAS PARA ENGENHARIA,LUCIANO EMIDIO NEVES DA FONSECA (90h),"246M12
											


		

											Segunda-feira 08:00 às 09:50Quarta-feira 08:00 às 09:50Sexta-feira 08:00 às 09:50",,35,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0104 - QUÍMICA ORGÂNICA APLICADA À ENGENHARIA,ROSEANY DE VASCONCELOS VIEIRA LOPES (60h),"24M34
											


		

											Segunda-feira 10:00 às 11:50Quarta-feira 10:00 às 11:50",,45,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0105 - TÓPICOS ESPECIAIS 2 EM ENGENHARIA AEROESPACIAL,LUI TXAI CALVOSO HABL (60h),"24M34
											


		

											Segunda-feira 10:00 às 11:50Quarta-feira 10:00 às 11:50",,30,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
