codigo,disciplina,turma,horario,local,docente
02,2025.1,REJANE MARIA DA COSTA FIGUEIREDO (60h),"35T45
											


		

											Terça-feira 16:00 às 17:50Quinta-feira 16:00 às 17:50",,45
04,2025.1,SERGIO ANTONIO ANDRADE DE FREITAS (60h),"24M34
											


		

											Segunda-feira 10:00 às 11:50Quarta-feira 10:00 às 11:50",,45
01,2025.1,JOSIANE DO SOCORRO AGUIAR DE SOUZA DE OLIVEIRA CAMPOS (60h),"24M34
											


		

											Segunda-feira 10:00 às 11:50Quarta-feira 10:00 às 11:50",,30
01,2025.1,FELIPE CHAGAS STORTI (60h),"35T45
											


		

											Terça-feira 16:00 às 17:50Quinta-feira 16:00 às 17:50",,45
01,2025.1,MAURA ANGELICA MILFONT SHZU (60h),"35M34
											


		

											Terça-feira 10:00 às 11:50Quinta-feira 10:00 às 11:50",,50
01,2025.1,RODRIGO ARBEY MUNOZ MENESES (60h),"35M12
											


		

											Terça-feira 08:00 às 09:50Quinta-feira 08:00 às 09:50",,15
01,2025.1,"RITA DE CASSIA SILVA (60h)
										
										
										ALESSANDRO BORGES DE SOUSA OLIVEIRA (30h)","246M34
											


		

											Segunda-feira 10:00 às 11:50Quarta-feira 10:00 às 11:50Sexta-feira 10:00 às 11:50",,20
01,2025.1,"SANDRA MARIA DA LUZ (30h)
										
										
										EMMANUEL PACHECO ROCHA LIMA (30h)","35T23
											


		

											Terça-feira 14:00 às 15:50Quinta-feira 14:00 às 15:50",,45
01,2025.1,FABIO ALFAIA DA CUNHA (60h),"46T23
											


		

											Quarta-feira 14:00 às 15:50Sexta-feira 14:00 às 15:50",,25
01,2025.1,DANIEL MAURICIO MUNOZ ARBOLEDA (60h),"35M12
											


		

											Terça-feira 08:00 às 09:50Quinta-feira 08:00 às 09:50",,20
01,2025.1,"AUGUSTO CESAR DE MENDONCA BRASIL (15h)
										
										
										LUCIANO GONCALVES NOLETO (60h)","26M34 4M3
											


		

											Segunda-feira 10:00 às 11:50Quarta-feira 10:00 às 10:55Sexta-feira 10:00 às 11:50",,25
02,2025.1,"AUGUSTO CESAR DE MENDONCA BRASIL (60h)
										
										
										LUCIANO GONCALVES NOLETO (15h)","26M34 4M4
											


		

											Segunda-feira 10:00 às 11:50Quarta-feira 10:55 às 11:50Sexta-feira 10:00 às 11:50",,20
01,2025.1,MILENE SERRANO (60h),"26M34
											


		

											Segunda-feira 10:00 às 11:50Sexta-feira 10:00 às 11:50",,60
02,2025.1,MILENE SERRANO (60h),"26M12
											


		

											Segunda-feira 08:00 às 09:50Sexta-feira 08:00 às 09:50",,80
01,2025.1,EDSON ALVES DA COSTA JUNIOR (60h),"35T6  35N1
											


		

											Terça-feira 18:00 às 19:50Quinta-feira 18:00 às 19:50",,110
01,2025.1,CLENIO EMIDIO DA FONSECA (60h),"26T45
											


		

											Segunda-feira 16:00 às 17:50Sexta-feira 16:00 às 17:50",,80
02,2025.1,CLENIO EMIDIO DA FONSECA (60h),"7M1234
											


		

											Sábado 08:00 às 11:50",,80
01,2025.1,BRUNO LUIZ PEREIRA (60h),"35M34
											


		

											Terça-feira 10:00 às 11:50Quinta-feira 10:00 às 11:50",,16
02,2025.1,SANDRA MARIA DA LUZ (60h),"6M1234
											


		

											Sexta-feira 08:00 às 11:50",,15
01,2025.1,CRISTIANO JACQUES MIOSSO RODRIGUES MENDES (60h),"46M12
											


		

											Quarta-feira 08:00 às 09:50Sexta-feira 08:00 às 09:50",,45
